team,points,conference
Brazil,35,W
Argentina,29,W
Ecuador,23,W
Colombia,17,W
Peru,17,W
Chile,16,W
Uruguay,16,W
Bolivia,15,W
Paraguay,13,W
Venezuela,7,W
