"","date","team","opponent","goals","home.adv"
"534",2017-08-20,"Houston","Vancouver",1,0
"535",2017-08-20,"Philadelphia","San Jose",2,0
"536",2017-08-20,"New England","New York City FC",1,0
"537",2017-08-21,"Seattle","Minnesota United",2,1
"538",2017-08-21,"Minnesota United","Seattle",1,0
"539",2017-08-24,"Columbus","L.A. Galaxy",2,1
"540",2017-08-24,"DC United","Atlanta United",1,1
"541",2017-08-24,"FC Dallas","Houston",3,1
"542",2017-08-24,"Toronto","Philadelphia",3,1
"543",2017-08-24,"Vancouver","Seattle",1,1
"544",2017-08-24,"Salt Lake","San Jose",4,1
"545",2017-08-24,"Portland","Colorado",2,1
"546",2017-08-24,"L.A. Galaxy","Columbus",0,0
"547",2017-08-24,"Atlanta United","DC United",0,0
"548",2017-08-24,"Houston","FC Dallas",3,0
"549",2017-08-24,"Philadelphia","Toronto",0,0
"550",2017-08-24,"Seattle","Vancouver",1,0
"551",2017-08-24,"San Jose","Salt Lake",0,0
"552",2017-08-24,"Colorado","Portland",1,0
"553",2017-08-26,"New York","New York City FC",1,1
"554",2017-08-26,"New York City FC","New York",1,0
"555",2017-08-27,"DC United","New England",1,1
"556",2017-08-27,"Philadelphia","Atlanta United",2,1
"557",2017-08-27,"Columbus","FC Dallas",2,1
"558",2017-08-27,"Orlando City","Vancouver",1,1
"559",2017-08-27,"Chicago","Minnesota United",1,1
"560",2017-08-27,"Salt Lake","Colorado",4,1
"561",2017-08-27,"Montreal","Toronto",1,1
"562",2017-08-27,"New England","DC United",0,0
"563",2017-08-27,"Atlanta United","Philadelphia",2,0
"564",2017-08-27,"FC Dallas","Columbus",1,0
"565",2017-08-27,"Vancouver","Orlando City",2,0
"566",2017-08-27,"Minnesota United","Chicago",2,0
"567",2017-08-27,"Colorado","Salt Lake",1,0
"568",2017-08-27,"Toronto","Montreal",3,0
"569",2017-08-28,"L.A. Galaxy","San Jose",0,1
"570",2017-08-28,"Seattle","Portland",1,1
"571",2017-08-28,"San Jose","L.A. Galaxy",3,0
"572",2017-08-28,"Portland","Seattle",1,0
"573",2017-09-03,"Montreal","Chicago",0,1
"574",2017-09-03,"New England","Orlando City",4,1
"575",2017-09-03,"FC Dallas","New York",2,1
"576",2017-09-03,"L.A. Galaxy","Colorado",3,1
"577",2017-09-03,"Chicago","Montreal",1,0
"578",2017-09-03,"Orlando City","New England",0,0
"579",2017-09-03,"New York","FC Dallas",2,0
"580",2017-09-03,"Colorado","L.A. Galaxy",0,0
"581",2017-09-07,"New York City FC","Kansas City",1,1
"582",2017-09-07,"Kansas City","New York City FC",0,0
"583",2017-09-09,"Chicago","New York",1,1
"584",2017-09-09,"Toronto","San Jose",4,1
"585",2017-09-09,"New York City FC","Portland",0,1
"586",2017-09-09,"New York","Chicago",1,0
"587",2017-09-09,"San Jose","Toronto",0,0
"588",2017-09-09,"Portland","New York City FC",1,0
"589",2017-09-10,"DC United","Orlando City",1,1
"590",2017-09-10,"New England","Montreal",1,1
"591",2017-09-10,"Minnesota United","Philadelphia",1,1
"592",2017-09-10,"Houston","Colorado",0,1
"593",2017-09-10,"Vancouver","Salt Lake",3,1
"594",2017-09-10,"Columbus","Kansas City",1,1
"595",2017-09-10,"Atlanta United","FC Dallas",3,1
"596",2017-09-10,"Orlando City","DC United",2,0
"597",2017-09-10,"Montreal","New England",0,0
"598",2017-09-10,"Philadelphia","Minnesota United",1,0
"599",2017-09-10,"Colorado","Houston",1,0
"600",2017-09-10,"Salt Lake","Vancouver",2,0
"601",2017-09-10,"Kansas City","Columbus",1,0
"602",2017-09-10,"FC Dallas","Atlanta United",0,0
"603",2017-09-11,"Seattle","L.A. Galaxy",1,1
"604",2017-09-11,"L.A. Galaxy","Seattle",1,0
"605",2017-09-14,"Atlanta United","New England",7,1
"606",2017-09-14,"Vancouver","Minnesota United",3,1
"607",2017-09-14,"New England","Atlanta United",0,0
"608",2017-09-14,"Minnesota United","Vancouver",0,0
"609",2017-09-16,"Atlanta United","Orlando City",3,1
"610",2017-09-16,"Orlando City","Atlanta United",3,0
"611",2017-09-17,"Vancouver","Columbus",2,1
"612",2017-09-17,"Montreal","Minnesota United",2,1
"613",2017-09-17,"FC Dallas","Seattle",0,1
"614",2017-09-17,"Chicago","DC United",3,1
"615",2017-09-17,"Kansas City","New England",3,1
"616",2017-09-17,"Salt Lake","Portland",2,1
"617",2017-09-17,"L.A. Galaxy","Toronto",0,1
"618",2017-09-17,"San Jose","Houston",1,1
"619",2017-09-17,"New York","Philadelphia",0,1
"620",2017-09-17,"Colorado","New York City FC",1,1
"621",2017-09-17,"Columbus","Vancouver",2,0
"622",2017-09-17,"Minnesota United","Montreal",3,0
"623",2017-09-17,"Seattle","FC Dallas",0,0
"624",2017-09-17,"DC United","Chicago",0,0
"625",2017-09-17,"New England","Kansas City",1,0
"626",2017-09-17,"Portland","Salt Lake",1,0
"627",2017-09-17,"Toronto","L.A. Galaxy",4,0
"628",2017-09-17,"Houston","San Jose",0,0
"629",2017-09-17,"Philadelphia","New York",0,0
"630",2017-09-17,"New York City FC","Colorado",1,0
