"","date","hteam","ateam","hfinal","afinal"
"128","05/21/2017","FC Dallas","San Jose",0,1
"129","05/21/2017","New England","Columbus",2,1
"130","05/21/2017","Minnesota United","L.A. Galaxy",1,2
"131","05/22/2017","Orlando City","New York City FC",0,3
"132","05/26/2017","Chicago","FC Dallas",2,1
"133","05/27/2017","Toronto","Columbus",5,0
"134","05/27/2017","Seattle","Portland",1,0
"135","05/28/2017","Vancouver","DC United",0,1
"136","05/28/2017","New York","New England",2,1
"137","05/28/2017","Minnesota United","Orlando City",1,0
"138","05/28/2017","Colorado","Kansas City",1,0
"139","05/28/2017","Salt Lake","Philadelphia",1,0
"140","05/28/2017","San Jose","L.A. Galaxy",2,4
"141","05/28/2017","Atlanta United","New York City FC",3,1
"142","05/29/2017","FC Dallas","Houston",0,0
"143","06/01/2017","New York City FC","New England",2,2
"144","06/01/2017","Columbus","Seattle",3,0
"145","06/01/2017","Orlando City","DC United",2,0
"146","06/01/2017","Houston","Salt Lake",5,1
"147","06/03/2017","Portland","San Jose",2,0
"148","06/03/2017","New York City FC","Philadelphia",2,1
"149","06/03/2017","Kansas City","Minnesota United",3,0
"150","06/03/2017","Vancouver","Atlanta United",3,1
"151","06/04/2017","DC United","L.A. Galaxy",0,0
"152","06/04/2017","New England","Toronto",3,0
"153","06/04/2017","Montreal","New York",1,0
"154","06/04/2017","FC Dallas","Salt Lake",6,2
"155","06/04/2017","Colorado","Columbus",2,1
"156","06/05/2017","Orlando City","Chicago",0,0
"157","06/05/2017","Seattle","Houston",1,0
"158","06/10/2017","Chicago","Atlanta United",2,0
"159","06/11/2017","Kansas City","Montreal",1,1
"160","06/17/2017","New York City FC","Seattle",2,1
"161","06/18/2017","Atlanta United","Columbus",3,1
"162","06/18/2017","New England","Chicago",1,2
"163","06/18/2017","Orlando City","Montreal",3,3
"164","06/18/2017","Toronto","DC United",2,0
"165","06/18/2017","San Jose","Kansas City",0,0
"166","06/18/2017","Colorado","Portland",2,1
"167","06/18/2017","Vancouver","FC Dallas",1,1
"168","06/18/2017","Salt Lake","Minnesota United",1,0
"169","06/17/2017","L.A. Galaxy","Houston",2,2
"170","06/18/2017","Philadelphia","New York",0,2
"171","06/11/2017","Portland","FC Dallas",2,0
"172","06/22/2017","DC United","Atlanta United",2,1
"173","06/22/2017","Minnesota United","Portland",3,2
"174","06/22/2017","Colorado","L.A. Galaxy",1,3
"175","06/22/2017","Seattle","Orlando City",1,1
"176","06/24/2017","Toronto","New England",2,0
"177","06/24/2017","Houston","FC Dallas",1,1
"178","06/24/2017","New York","New York City FC",0,2
"179","06/25/2017","Atlanta United","Colorado",1,0
"180","06/25/2017","Philadelphia","DC United",1,0
"181","06/25/2017","Columbus","Montreal",4,1
"182","06/25/2017","Minnesota United","Vancouver",2,2
"183","06/25/2017","Chicago","Orlando City",4,0
"184","06/25/2017","L.A. Galaxy","Kansas City",1,2
"185","06/25/2017","San Jose","Salt Lake",2,1
"186","06/26/2017","Portland","Seattle",2,2
"187","06/30/2017","New York City FC","Minnesota United",3,1
"188","07/01/2017","Salt Lake","Orlando City",0,1
"189","07/02/2017","Chicago","Vancouver",4,0
"190","07/02/2017","Kansas City","Portland",1,1
"191","07/02/2017","Montreal","DC United",2,0
"192","07/02/2017","FC Dallas","Toronto",3,1
"193","07/02/2017","Columbus","Atlanta United",0,2
"194","07/02/2017","Colorado","Houston",3,1
"195","07/02/2017","San Jose","L.A. Galaxy",2,1
"196","07/02/2017","Philadelphia","New England",3,0
"197","07/05/2017","Atlanta United","San Jose",4,2
"198","07/05/2017","Minnesota United","Columbus",0,1
"199","07/05/2017","FC Dallas","DC United",4,2
"200","07/05/2017","Colorado","Seattle",1,3
"201","07/05/2017","L.A. Galaxy","Salt Lake",2,6
"202","07/06/2017","New England","New York",2,3
"203","07/06/2017","Orlando City","Toronto",1,3
"204","07/06/2017","Houston","Montreal",3,1
"205","07/06/2017","Vancouver","New York City FC",3,2
"206","07/06/2017","Portland","Chicago",2,2
"207","07/07/2017","Kansas City","Philadelphia",1,1
"208","07/20/2017","New York City FC","Toronto",2,2
"209","07/20/2017","New York","San Jose",5,1
"210","07/20/2017","Montreal","Philadelphia",2,1
"211","07/20/2017","Minnesota United","Houston",0,0
"212","07/20/2017","L.A. Galaxy","Vancouver",0,1
"213","07/20/2017","Seattle","DC United",4,3
"214","07/20/2017","Portland","Salt Lake",1,4
"215","07/22/2017","Orlando City","Atlanta United",0,1
"216","07/22/2017","New York City FC","Chicago",2,1
"217","07/22/2017","Minnesota United","New York",0,3
"218","07/23/2017","DC United","Houston",1,3
"219","07/23/2017","Toronto","Colorado",1,1
"220","07/23/2017","Columbus","Philadelphia",1,0
"221","07/23/2017","New England","L.A. Galaxy",4,3
"222","07/23/2017","Montreal","FC Dallas",1,2
"223","07/23/2017","Salt Lake","Kansas City",1,1
"224","07/23/2017","Vancouver","Portland",1,2
"225","07/24/2017","Seattle","San Jose",3,0
"226","07/27/2017","Philadelphia","Columbus",3,0
"227","07/29/2017","Atlanta United","Orlando City",1,1
"228","07/30/2017","New England","Philadelphia",3,0
"229","07/30/2017","New York","Montreal",4,0
"230","07/30/2017","FC Dallas","Vancouver",0,4
"231","07/30/2017","Kansas City","Chicago",3,2
"232","07/30/2017","Houston","Portland",2,2
"233","07/30/2017","Salt Lake","Columbus",2,2
"234","07/30/2017","San Jose","Colorado",1,0
"235","07/30/2017","Minnesota United","DC United",4,0
"236","07/30/2017","L.A. Galaxy","Seattle",0,0
"237","07/30/2017","Toronto","New York City FC",4,0
"238","08/06/2017","Philadelphia","FC Dallas",3,1
"239","08/06/2017","DC United","Toronto",1,1
"240","08/06/2017","Montreal","Orlando City",2,1
"241","08/06/2017","Minnesota United","Seattle",0,4
"242","08/06/2017","Chicago","New England",4,1
"243","08/06/2017","Colorado","Vancouver",2,2
"244","08/06/2017","Salt Lake","Houston",0,0
"245","08/06/2017","San Jose","Columbus",2,1
"246","08/06/2017","Portland","L.A. Galaxy",3,1
"247","08/06/2017","New York City FC","New York",3,2
"248","08/07/2017","Kansas City","Atlanta United",1,1
"249","08/12/2017","Seattle","Kansas City",1,0
"250","08/12/2017","Toronto","Portland",4,1
"251","08/13/2017","New York","Orlando City",3,1
"252","08/13/2017","Columbus","Chicago",3,1
"253","08/13/2017","FC Dallas","Colorado",0,0
"254","08/13/2017","New England","Vancouver",1,0
"255","08/13/2017","Philadelphia","Montreal",0,3
"256","08/13/2017","Houston","San Jose",3,0
"257","08/13/2017","L.A. Galaxy","New York City FC",0,2
"258","08/14/2017","DC United","Salt Lake",0,1
"259","08/17/2017","Montreal","Chicago",3,0
"260","08/19/2017","Portland","New York",2,0
"261","08/20/2017","Montreal","Salt Lake",3,1
"262","08/20/2017","Orlando City","Columbus",1,1
"263","08/20/2017","Chicago","Toronto",1,3
"264","08/20/2017","Kansas City","FC Dallas",2,0
"265","08/20/2017","Colorado","DC United",0,1
"266","08/20/2017","Vancouver","Houston",2,1
"267","08/20/2017","San Jose","Philadelphia",2,2
"268","08/20/2017","New York City FC","New England",2,1
"269","08/21/2017","Seattle","Minnesota United",2,1
"270","08/24/2017","Columbus","L.A. Galaxy",2,0
"271","08/24/2017","DC United","Atlanta United",1,0
"272","08/24/2017","FC Dallas","Houston",3,3
"273","08/24/2017","Toronto","Philadelphia",3,0
"274","08/24/2017","Vancouver","Seattle",1,1
"275","08/24/2017","Salt Lake","San Jose",4,0
"276","08/24/2017","Portland","Colorado",2,1
